,country,Unnamed: 0_sum,Unnamed: 0_count,pl_count_sum,pl_count_count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,pl_count
29,indonesia,85164,50,507.0,50,0.15394762087282854,0.1315575054787501,1.1994704675399146,-1.9525665682310467,0.2077005138597255,0.013248696527827241,0.12550791646181486,0.0005007767912676473,0.034198408858288454,0.10054729950820844,31.687870437111787,20.718126257507617,2.6326040131720205
30,ireland,89923,50,900.0,50,0.16885474377230356,0.1780427939743686,1.2538986158112293,-1.7023997745865027,0.1783562686283214,0.016691444375904394,0.0575776732541984,0.005403741157852865,0.046537474273459424,0.1399123856357987,33.5351725768049,22.662055586622778,4.864261871681492
31,israel,85149,50,758.0,50,0.2114748726073021,0.1875626070812106,1.5858911851501112,-2.1462001696160176,0.13628752372383768,0.029264648275973155,0.0783778274240646,0.00014305593384521,0.047188935600634606,0.1555845981056447,37.26953934610486,21.341387237664584,4.695724681030407
32,italy,107541,50,414.0,50,0.2238332254708262,0.21975525327456039,1.5837407743359615,-1.8901080534393888,0.1667095551932591,0.0378488397442419,0.07545928482455745,4.4978430348320377e-05,0.0476596970673652,0.17366647316959316,40.707254601397466,23.53169490612542,2.6545290711542027
33,japan,106602,50,165.0,50,0.15687989782791587,0.18748206501775594,1.45798203951595,-1.227857863752351,0.20607519993158302,0.015647805118804925,0.04579387637239644,0.004129888374216077,0.05645378583325735,0.15379392170894043,33.46804469152861,18.845577033743268,0.85006019971778
34,latvia,81867,50,986.0,50,0.2221864927802274,0.20742218819643574,1.7632834552689274,-2.0285298411234765,0.19804995330919112,0.02785285101426066,0.06267586186335193,0.01442144440173475,0.055775338947588106,0.15993492035942872,38.2345337361059,25.439835937974163,6.299266256866531
35,lithuania,69678,50,1093.0,50,0.21340886298738176,0.200190502273542,1.41970510409157,-1.8328634545754785,0.18728024777378158,0.024740928990579603,0.0638511403957453,0.012365585905248277,0.049499377746273526,0.16432935547402033,36.87490082201933,25.524485382071845,6.603139058604621
36,luxembourg,42391,50,798.0,50,0.22654610238106018,0.20882615971957136,1.6511198330852848,-1.8261385353923243,0.18691922638701336,0.034930841963117104,0.05562896242798938,0.0012718539313474756,0.0464282435781823,0.179685452325836,38.596676908455684,26.723218732463344,4.972051421894555
37,malaysia,88823,50,840.0,50,0.1677641005548423,0.16249145285999306,1.3653836917060764,-1.6665236521693143,0.2158709394001702,0.018653407873568704,0.08537549940392634,7.981514971459164e-05,0.04329993270223463,0.12839949507787274,32.39757598522147,22.790574427172967,4.533289727403574
38,mexico,71005,50,628.0,50,0.20248240520632177,0.1795792733975656,1.2480011278232415,-1.6237188006940275,0.18488905597381355,0.02718678012434945,0.09415590731126439,0.000614933777940155,0.04674573113317925,0.16599570556648952,36.77626479040225,24.445799869537662,3.628447723486091
39,morocco,102888,50,404.0,50,0.20239072596081262,0.1661899105441105,1.3794098733869815,-2.688695880983589,0.11591679608293962,0.038220665588447264,0.09272816265212991,0.0016534961230178582,0.04022138948883881,0.14491338262308695,36.72756452146214,17.544007087152913,2.34151928087538
40,netherlands,81623,50,787.0,50,0.23078806061447735,0.21706696437497194,1.6016591546114434,-2.1460417025788114,0.1750801505040849,0.031845134041687435,0.0701914609519929,0.006263265623066484,0.04843819319446161,0.1919008138525144,39.70972791788092,25.905377824585898,5.103262164693142
41,new_zealand,84856,50,884.0,50,0.19240631096153138,0.17307221861524766,1.3118356193023004,-1.8907942826863138,0.17453606952090692,0.024292605779414743,0.06353687210531693,0.0004101852681610644,0.04121021809220253,0.15783127860901883,33.35714781037463,23.21329724628062,4.977093079241346
42,nicaragua,61404,50,791.0,50,0.20531448848679065,0.18462057131735474,1.2587136113242083,-1.4624034166034305,0.14971483482710848,0.028876110142431483,0.06581297789183214,0.00055076511211839,0.038132922929852764,0.1470199678002205,35.419851688048624,23.54404402503343,4.38609016104603
43,norway,100157,50,846.0,50,0.20505908090503827,0.1977832699243382,1.590036923503344,-1.9942775169191478,0.20416816527474846,0.026980513695353047,0.07050236092642023,0.0001306798139966145,0.05316353416331473,0.15801378609445682,37.62224723568679,24.883768507122372,5.234129327952642
44,panama,64225,50,919.0,50,0.20956424834989282,0.1953598908429109,1.3993034134340934,-1.4792750313724776,0.1313631775876904,0.027822721013072815,0.07485873460897131,0.0015568145457494633,0.04419514209450209,0.164021205824491,35.959150620924234,24.022327171035904,5.248815661003803
45,paraguay,67572,50,476.0,50,0.20689524879217572,0.19453176572394265,1.4447216169620691,-1.3743581175944126,0.1278022968851061,0.03114597541306073,0.07231920790729485,0.0001560891126519829,0.04667451014676149,0.17558368605532468,35.269761013409244,23.115545871393106,2.6449518833613266
46,peru,59414,50,822.0,50,0.21186147480725878,0.19817356974676706,1.5253383938377856,-1.4341334797250416,0.11468709728103652,0.029662670840767288,0.07281942554762133,0.0005921883177428968,0.04871678518303869,0.17411221673720562,36.454635709815655,24.479960914637243,4.713639698250601
47,philippines,105795,50,575.0,50,0.15373416931558145,0.13878660741925744,1.1386230035119247,-1.8333234825445,0.22070225618733344,0.01320752524470154,0.09138844541761508,5.710550495798423e-05,0.03935221547027514,0.10810297465677668,29.024844636897555,20.48518214247886,2.8841772115390163
48,poland,112456,50,404.0,50,0.23511259956386718,0.20976474301391154,1.687718043705908,-2.138601865709195,0.19893254507560132,0.048633873527885806,0.09185325238133486,0.005377711533477941,0.05940061624168723,0.1681942582719842,40.59287246081592,22.8259052527069,2.5925402648562237
49,portugal,82408,50,840.0,50,0.1993366901801307,0.17838577131978847,1.6429808449990313,-1.8834794489022761,0.12817581060276131,0.03360012351487204,0.10234133509672177,0.0016170029873703129,0.049909330179431555,0.16220066214458517,35.07681955030683,23.188169372681365,4.893985495741796
50,romania,96833,50,838.0,50,0.22758874886166192,0.19973941708789675,1.44445449843808,-2.0861596354661733,0.16187852137668138,0.042966917841254455,0.07027640342451937,0.00467457054458425,0.05766486497255953,0.15890805050941925,40.642834135946416,22.50111447135871,5.217469265909961
51,russia,113334,50,353.0,50,0.26348995505645567,0.2144461028426717,1.8833617613625442,-2.387859474803841,0.21543990628132423,0.05345203068327578,0.06619181935294363,0.022732889635232442,0.06686351233300802,0.16253828981022522,44.01655505103493,24.442004851336044,2.4532350618486274
