track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,duration_ms,time_signature,update_dttm,name,artist,album_img,preview_url,popularity,basic_kmeans_cluster,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo
5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4,12/4/2021 10:20,Daddy Issues,The Neighbourhood,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,https://p.scdn.co/mp3-preview/087accb64df2f5e6bd13e00aa47a9ef84afbdea1?cid=92635a7f55d045ebb6fb8dee4927d449,87,8,0.40745825,0.247342248,4.475956,1706.575106,2065.452301,21.18294085,0.007290146,3565.803438,2.923300829,0.007052558,0.060188978,1.3252376,8.998364,0.25163546,86.1328125
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,12/4/2021 10:20,Someone You Loved,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,,88,5,,,,,,,,,,,,,,,
4xEJksd3jrMEnTvGdIfgof,0.814,0.785,1,-7.214,1,0.302,0.0721,0.0,0.657,0.552,100.148,244000,4,12/4/2021 10:20,RAPINBOX Vol.1,Gleb,https://i.scdn.co/image/ab67616d0000b273f1e688ad1ae6414a51c24c11,,53,1,,,,,,,,,,,,,,,
4QWSICaQ6LGmcS8qX9lNVh,0.458,0.475,3,-6.631,1,0.0335,0.618,0.0,0.114,0.211,175.912,219874,4,12/4/2021 10:20,你的答案,阿冗,https://i.scdn.co/image/ab67616d0000b2732ea8833f69f77ec4eec7ce70,https://p.scdn.co/mp3-preview/523bda845250467e2f8638509f87ca52b356a67b?cid=92635a7f55d045ebb6fb8dee4927d449,65,5,0.332416,0.233482478,5.513974,2542.578413,2732.585762,20.86093392,0.021995185,5687.282276,3.617456172,0.009273471,0.101732189,1.1331557,14.404373,0.4081157,89.10290948
1mrGEef8GuaEnDdw8J5BQp,0.405,0.837,8,-4.188,0,0.294,0.347,0.0,0.0901,0.655,74.966,201507,1,12/4/2021 10:20,"Anuel AA: Bzrp Music Sessions, Vol. 46",Bizarrap,https://i.scdn.co/image/ab67616d0000b273b6212d4cebf7880eea8edd03,https://p.scdn.co/mp3-preview/f6c46de5da235cc3347b2c85a036cd0d2fd4b705?cid=92635a7f55d045ebb6fb8dee4927d449,83,4,0.3337935,0.261903861,6.200275,2687.290119,2882.213715,20.73504763,0.024030944,6228.229005,4.389227002,-0.040344431,0.103659993,1.7173637,15.112792,0.48723254,112.3471467
31xVuaxFElzKPIp6Z9HT5N,0.67,0.912,0,-4.36,1,0.0271,0.00936,0.000186,0.0804,0.433,116.064,285307,4,12/4/2021 10:20,La Melodía de Dios,Tan Bionica,https://i.scdn.co/image/ab67616d0000b273b7ac09efefe4f01318bf51f9,https://p.scdn.co/mp3-preview/6971e30bda11daa604b5fd04aff1f990742271f1?cid=92635a7f55d045ebb6fb8dee4927d449,66,3,0.41973045,0.269289446,7.4168277,2433.20891,2435.159933,19.65002318,0.024559468,5169.118743,4.704875953,0.044444665,0.106104801,1.1394486,26.242685,0.47190765,117.4538352
4A9u8OrzFYbxdjiydkNdUi,0.834,0.485,7,-11.103,1,0.475,0.373,0.0,0.272,0.55,175.99,181928,4,12/4/2021 10:20,L-Gante: RKT SESSIONS #1,Papu DJ,https://i.scdn.co/image/ab67616d0000b273fada92e9fdfb5a75e31246e5,https://p.scdn.co/mp3-preview/07987d14404ac35de744f478ca11ec330ddf8de3?cid=92635a7f55d045ebb6fb8dee4927d449,75,9,0.4024129,0.259260653,1.5717592,2209.781805,2355.917244,21.70248561,0.015994225,4530.614271,1.701227543,0.082822179,0.079064526,2.0744588,17.358067,0.15084055,89.10290948
1AnJQd8TfkhK6M3VgZDVv1,0.798,0.813,0,-6.343,1,0.0794,0.187,0.00171,0.686,0.535,96.005,218000,4,12/4/2021 10:20,Los Malvekes,Cris Mj,https://i.scdn.co/image/ab67616d0000b2738599e09fe295db75134cfca0,https://p.scdn.co/mp3-preview/b56820d234ed175ed6769137e07f6fb2c129c716?cid=92635a7f55d045ebb6fb8dee4927d449,78,1,0.42817774,0.255047154,6.0583754,2188.127835,2459.289514,21.19543781,0.018191189,4884.887128,2.800575361,0.015596907,0.065878286,2.398325,13.775136,0.20426558,95.703125
0smvwHfWnCdyXGLwV2LeBl,0.808,0.898,7,-5.528,0,0.294,0.178,1.03e-06,0.102,0.553,129.979,149538,4,12/4/2021 10:20,Sidste Gang (NOT),Ude Af Kontrol,https://i.scdn.co/image/ab67616d0000b273101829614e837f81a72a6af8,https://p.scdn.co/mp3-preview/8ce42ad1a167b5ad1196f5c78bdb49e4ddb8eb02?cid=92635a7f55d045ebb6fb8dee4927d449,50,4,0.4116585,0.259050703,4.594399,2926.109645,2858.171489,19.89200084,0.040455148,6459.869271,3.379521093,0.022166938,0.119992094,1.9596962,21.777802,0.33174348,129.1992188
4xTd8fz0mZFK5b9IYdGKNd,0.815,0.832,5,-3.622,0,0.104,0.538,1.01e-06,0.0686,0.912,110.01,141320,4,12/4/2021 10:20,"Chucky73: Bzrp Music Sessions, Vol. 43",Bizarrap,https://i.scdn.co/image/ab67616d0000b273e93b9dc7af9fe9e87ccfd2e3,https://p.scdn.co/mp3-preview/272c617ffa319e0c56bf48a43e8f2d862df18876?cid=92635a7f55d045ebb6fb8dee4927d449,74,4,0.4229404,0.25925102,1.8314217,2486.540652,2697.380325,21.06545954,0.02901607,5439.14211,3.929653431,-0.004120147,0.10358025,2.018373,25.976954,0.43555346,112.3471467
