,track_id,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo
1076,6MjLHdROTcaU22k7B6gxR6,0.33339858,0.248739099264531,3.8809214,2053.6904646416992,2415.238898594378,22.203706902826852,0.011183171,4412.131653776848,3.091944685497431,0.0076412578368754,0.0780550835671439,1.4004114,13.234534,0.3642215,129.19921875
1077,15Xn4r9FY3725iHIfyq5hE,0.3813772,0.2588605103317679,2.3749945,2170.7880578839627,2437.267917222235,22.55406092596288,0.013581157,4754.637916021672,2.378581163595823,0.0118207588817591,0.0849084056936919,1.9742335,15.890733,0.250199,107.66601562
1078,52h8p62Jx8KzQynM6heq7n,0.32254097,0.2468569261952003,-1.6884704,2594.470142334244,2809.6793240920224,21.93747592070397,0.024303254,5994.355419619534,2.643460470698072,0.0489617501189,0.1082087183146284,1.396851,17.780407,0.35439384,123.046875
1079,19KNYtZF0xP7VCIItvGSJZ,0.34763968,0.262481078453663,3.7630982,2099.326870166609,2339.3076729720506,20.56805957304118,0.016890552,4607.872136827593,3.526383168579508,0.0327453701668313,0.0841480172455495,1.4989487,12.850414,0.37224832,112.34714674
1080,0gEewSHZqPiNQa9DqeeUXj,0.35685387,0.2696194676562653,4.3843966,2228.218570682941,2469.3654683359973,21.58665086971248,0.016938299,4802.512626529847,3.0970325993614427,-0.0335233028389381,0.094866395365712,1.6955518,16.162926,0.32526082,103.359375
1081,4OHu1M6xtQLkgTSao8nYS3,0.35298613,0.2381042723741858,-1.0977119,2357.8340750366856,2564.6050715318856,23.727152954854525,0.018935593,5052.16111693958,1.9731659341257592,0.0295047557621507,0.101593112059791,1.77304,17.250036,0.23841564,92.28515625
1082,1ecud9LC1clhcuhjLIyyMB,0.34833324,0.2303398495299866,6.1389995,2057.992316730319,2477.6638486686365,21.242152896489003,0.011825055,4677.7550475885255,2.8623097816277334,0.0933593412248208,0.0698204394833591,1.1247869,7.9472528,0.2982267,135.99917763
1083,0N5DeGdC258DI3DZEn2SEI,0.41859597,0.2428684467888693,5.4671392,2524.4067336630446,2461.27706427163,21.842647190758115,0.022864806,5087.369237374226,3.179816886919964,9.10902702340482e-05,0.105107074182469,1.7107803,22.935614,0.2670091,143.5546875
1084,5SolgEp0EAXjruwQdszykB,0.4318692,0.2524338991566668,6.8658795,2129.2266153567616,2558.970943473175,19.78465311509536,0.021086207,4889.395434494727,3.6026445098151827,-0.0230172468107458,0.0766076244436919,1.6161902,13.642126,0.39024392,129.19921875
1085,0AQkjLgo2ATGnv8EO2xKyJ,0.36819643,0.2632523587756661,5.6481867,2497.29197221422,2645.519050290475,20.73475069624577,0.024544666,5672.515699073626,3.091320151432561,-0.0539043395950656,0.0988822440982972,1.38139,14.596018,0.29794008,123.046875
